model,split,threshold,accuracy,precision,recall,f1_toxic,f1_macro,pr_auc,roc_auc
Dummy prior,validation,0.5,0.9205663787909218,0.0,0.0,0.0,0.4793202614379085,0.0794336212090781,0.5
Dummy prior,test,0.5,0.9208954625621292,0.0,0.0,0.0,0.4794094631957848,0.0791045374378707,0.5
TF-IDF + Logistic Regression,validation,0.5615672654373975,0.9309098212492468,0.5689424364123159,0.5372945638432364,0.552665799739922,0.7576148674398815,0.5564968999232638,0.8753778910970298
TF-IDF + Logistic Regression,test,0.5615672654373975,0.9282507615840948,0.549850584080413,0.5127945274892324,0.5306764551651809,0.7459163274914486,0.5517503589478957,0.8786186966864591
Word TF-IDF + Linear SVM,validation,0.24605240284574678,0.9326169913637277,0.588495575221239,0.504424778761062,0.5432266848196051,0.7534261032923308,0.548465198916741,0.8672751171305528
Word TF-IDF + Linear SVM,test,0.24605240284574678,0.929393137726471,0.5623162845385068,0.4846719027109197,0.5206150496666213,0.7412525395991664,0.5465708604049138,0.8721145258242631
Word+char TF-IDF + Linear SVM,validation,0.2321537038898406,0.9322153042779676,0.5771276595744681,0.5486725663716814,0.5625405055087492,0.7629009064309653,0.5912943006697796,0.892493921954154
Word+char TF-IDF + Linear SVM,test,0.2321537038898406,0.9300545133878468,0.5588462528972444,0.5497846465670129,0.5542784163473818,0.7581639792747978,0.5940468834067465,0.8948496328887743
DistilBERT (fine-tuned),validation,0.6223688721656799,0.9410524201646917,0.6297709923664122,0.6257901390644753,0.6277742549143944,0.7978829832835781,0.6798323997989913,0.9315945573476674
DistilBERT (fine-tuned),test,0.6223688721656799,0.9413981080647748,0.6247256766642283,0.649100582721054,0.6366799204771372,0.8024043132207799,0.6933742744367516,0.9375346515942872
